IBM Db2 Interactive CLI Sample Program
(C) COPYRIGHT International Business Machines Corp. 1993,1996
All Rights Reserved
Licensed Materials - Property of IBM
US Government Users Restricted Rights - Use, duplication or
disclosure restricted by GSA ADP Schedule Contract with IBM Corp.
> SELECT USERID, APP, ATTEMPTDATE, ATTEMPTRESULT, CLIENTHOST, CLIENTADDR FROM LOGINTRACKING WHERE ATTEMPTDATE >= CURRENT_DATE - 90 DAYS AND ATTEMPTRESULT = 'LOGIN';
FetchAll:  Columns: 6
  USERID APP ATTEMPTDATE ATTEMPTRESULT CLIENTHOST CLIENTADDR 
  JOAOCOSTA, -, 2026-03-24 13:22:01.773000, LOGIN, odrl-odn1-sv013.foresea.com, 10.120.216.145
  FABIOLANA, -, 2026-03-24 13:28:57.416000, LOGIN, odrl-odn1-sv013.foresea.com, 10.120.216.145
  SAVIOPINTO, -, 2026-03-24 13:30:42.381000, LOGIN, odrl-odn1-sv013.foresea.com, 10.120.216.145
  RAYLANUNES, -, 2026-03-24 13:33:33.191000, LOGIN, 10.117.113.7, 10.117.113.7
  WENDELCARDOSO, -, 2026-03-24 13:34:52.983000, LOGIN, odrl-odn1-sv013.foresea.com, 10.120.216.145
  ALANSILVA, -, 2026-03-24 13:35:56.566000, LOGIN, odrl-odn1-sv013.foresea.com, 10.120.216.145
  LETICIAVIRIATO, -, 2026-03-24 13:41:37.542000, LOGIN, odrl-odn1-sv013.foresea.com, 10.120.216.145
  LUIZFELIPE, -, 2026-03-24 13:41:51.929000, LOGIN, odrl-odn1-sv013.foresea.com, 10.120.216.145
  ITEAM, -, 2026-03-24 13:48:14.746000, LOGIN, odrl-odn1-sv013.foresea.com, 10.120.216.145
  ITEAM, -, 2026-03-24 13:49:56.363000, LOGIN, odrl-odn1-sv013.foresea.com, 10.120.216.145
  ELCIODSILVA, -, 2026-03-24 13:52:55.156000, LOGIN, odrl-odn1-sv013.foresea.com, 10.120.216.145
  SERGIOSILVA, -, 2026-03-24 14:06:04.147000, LOGIN, odrl-odn1-sv013.foresea.com, 10.120.216.145
  VICTORBRASIL, -, 2026-03-24 14:09:03.445000, LOGIN, odrl-odn1-sv013.foresea.com, 10.120.216.145
  KAIQUEVINICIUS, -, 2026-03-24 14:09:42.881000, LOGIN, odrl-odn1-sv013.foresea.com, 10.120.216.145
  DOWGLASAREAS, -, 2026-03-24 14:11:41.475000, LOGIN, odrl-odn1-sv013.foresea.com, 10.120.216.145
  ARISTEUMELO, -, 2026-03-24 14:12:15.277000, LOGIN, odrl-odn1-sv013.foresea.com, 10.120.216.145
  LETICIAVIRIATO, -, 2026-03-24 14:14:02.829000, LOGIN, odrl-odn1-sv013.foresea.com, 10.120.216.145
  ARISTEUMELO, -, 2026-03-24 14:15:00.775000, LOGIN, odrl-odn1-sv013.foresea.com, 10.120.216.145
  LETICIAVIRIATO, -, 2026-03-24 14:16:12.075000, LOGIN, odrl-odn1-sv013.foresea.com, 10.120.216.145
  ARISTEUMELO, -, 2026-03-24 14:16:55.290000, LOGIN, odrl-odn1-sv013.foresea.com, 10.120.216.145
  TIAGOPEIXER, -, 2026-03-24 14:17:47.254000, LOGIN, odrl-odn1-sv013.foresea.com, 10.120.216.145
